OrderID,Data,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD200022,1/26/2023,C34416,Monitor,2,$49.62,633 Main St,Online,Pending,TRK75937350,2,FREESHIP,Google,$99.24
ORD200023,1/27/2023,C42372,Phone,4,$273.25,755 Main St,Debit Card,Cancelled,TRK36168083,5,WINTER15,Referral,"$1,093.00"
ORD200024,1/28/2023,C17470,Laptop,2,$230.95,956 Main St,Online,Delivered,TRK28775057,3,WINTER15,Referral,$461.90
ORD200025,1/29/2023,C42577,Monitor,1,$399.98,709 Main St,Debit Card,Delivered,TRK69423327,3,,Email,$399.98
ORD200026,1/30/2023,C21944,Laptop,5,$59.55,296 Main St,Online,Delivered,TRK80276812,6,WINTER15,Referral,$297.75
ORD200027,1/31/2023,C97593,Printer,1,$472.74,881 Main St,Online,Shipped,TRK89117573,6,,Google,$472.74
ORD200028,2/1/2023,C59823,Phone,4,$160.07,568 Main St,Online,Pending,TRK65895539,5,SAVE10,Email,$640.28
ORD200029,2/2/2023,C33260,Desk,3,$423.53,930 Main St,Credit Card,Delivered,TRK59744090,6,SAVE10,Referral,"$1,270.59"
ORD200030,2/3/2023,C44267,Monitor,2,$426.70,895 Main St,Online,Pending,TRK54751444,5,,Referral,$853.40
ORD200031,2/4/2023,C26445,Chair,3,$500.08,996 Main St,Debit Card,Returned,TRK31229981,6,,Facebook,"$1,500.24"
ORD200032,2/5/2023,C12388,Tablet,5,$536.72,830 Main St,Cash,Delivered,TRK99261395,10,WINTER15,Email,"$2,683.60"
ORD200033,2/6/2023,C52184,Chair,1,$162.77,912 Main St,Online,Cancelled,TRK73312471,4,WINTER15,Facebook,$162.77
ORD200034,2/7/2023,C67195,Chair,4,$576.52,926 Main St,Credit Card,Pending,TRK55467915,5,SAVE10,Facebook,"$2,306.08"
ORD200035,2/8/2023,C50304,Monitor,2,$465.15,128 Main St,Online,Shipped,TRK46850888,2,,Facebook,$930.30
ORD200036,2/9/2023,C59337,Laptop,2,$534.43,465 Main St,Debit Card,Pending,TRK50961250,5,SAVE10,Facebook,"$1,068.86"
ORD200037,2/10/2023,C10054,Laptop,2,$76.74,409 Main St,Cash,Returned,TRK94005261,7,SAVE10,Instagram,$153.48
ORD200038,2/11/2023,C15924,Laptop,1,$245.89,549 Main St,Debit Card,Delivered,TRK14835975,3,SAVE10,Google,$245.89
ORD200039,2/12/2023,C96664,Printer,3,$256.46,666 Main St,Credit Card,Delivered,TRK85508960,4,FREESHIP,Referral,$769.38
ORD200040,2/13/2023,C84766,Desk,2,$344.02,267 Main St,Online,Delivered,TRK78967923,4,FREESHIP,Instagram,$688.04
ORD200041,2/14/2023,C20212,Monitor,3,$611.45,657 Main St,Gift Card,Pending,TRK69733327,4,,Instagram,"$1,834.35"
ORD200042,2/15/2023,C28712,Printer,2,$151.66,980 Main St,Cash,Cancelled,TRK40772558,6,,Instagram,$303.32
ORD200043,2/16/2023,C60572,Chair,3,$499.21,871 Main St,Online,Cancelled,TRK20351666,8,FREESHIP,Instagram,"$1,497.63"
ORD200044,2/17/2023,C73225,Phone,2,$550.18,996 Main St,Gift Card,Returned,TRK73848522,3,SAVE10,Referral,"$1,100.36"
ORD200045,2/18/2023,C17388,Chair,1,$317.25,157 Main St,Debit Card,Returned,TRK47077395,1,FREESHIP,Facebook,$317.25
ORD200046,2/19/2023,C43212,Monitor,4,$550.14,223 Main St,Debit Card,Pending,TRK25100762,4,FREESHIP,Instagram,"$2,200.56"
ORD200047,2/20/2023,C38134,Desk,2,$209.94,323 Main St,Credit Card,Returned,TRK42450754,3,,Email,$419.88
ORD200048,2/21/2023,C12408,Monitor,2,$80.77,464 Main St,Debit Card,Shipped,TRK38938858,4,SAVE10,Google,$161.54
ORD200049,2/22/2023,C11985,Printer,1,$30.44,633 Main St,Credit Card,Shipped,TRK53272402,1,FREESHIP,Email,$30.44
ORD200050,2/23/2023,C96494,Tablet,1,$179.22,446 Main St,Online,Cancelled,TRK14675049,6,SAVE10,Instagram,$179.22
ORD200051,2/24/2023,C36778,Tablet,1,$388.33,434 Main St,Cash,Returned,TRK67610289,2,SAVE10,Facebook,$388.33
ORD200052,2/25/2023,C30513,Tablet,1,$586.44,232 Main St,Online,Returned,TRK64320429,5,FREESHIP,Facebook,$586.44
ORD200053,2/26/2023,C67551,Phone,4,$488.78,512 Main St,Online,Returned,TRK94992552,5,WINTER15,Google,"$1,955.12"
ORD200054,2/27/2023,C48120,Chair,1,$280.25,623 Main St,Online,Pending,TRK11014449,5,,Email,$280.25
ORD200055,2/28/2023,C95984,Printer,3,$344.40,565 Main St,Online,Cancelled,TRK67434829,3,WINTER15,Facebook,"$1,033.20"
ORD200056,3/1/2023,C54298,Tablet,3,$479.21,566 Main St,Cash,Cancelled,TRK62902341,5,SAVE10,Referral,"$1,437.63"
ORD200057,3/2/2023,C88036,Printer,5,$314.27,842 Main St,Cash,Returned,TRK52470128,6,SAVE10,Instagram,"$1,571.35"
ORD200058,3/3/2023,C60190,Phone,4,$474.69,202 Main St,Gift Card,Cancelled,TRK70857868,6,,Google,"$1,898.76"
ORD200059,3/4/2023,C97603,Chair,4,$593.27,811 Main St,Online,Shipped,TRK47055028,5,FREESHIP,Facebook,"$2,373.08"
ORD200060,3/5/2023,C39256,Desk,1,$417.10,634 Main St,Debit Card,Returned,TRK23412025,3,FREESHIP,Referral,$417.10
ORD200061,3/6/2023,C61618,Desk,4,$122.20,104 Main St,Cash,Delivered,TRK43458485,7,WINTER15,Facebook,$488.80
ORD200062,3/7/2023,C36497,Desk,2,$43.15,691 Main St,Debit Card,Pending,TRK12102911,3,WINTER15,Email,$86.30
ORD200063,3/8/2023,C96695,Chair,1,$564.86,813 Main St,Debit Card,Shipped,TRK64283851,6,FREESHIP,Referral,$564.86
ORD200064,3/9/2023,C49720,Printer,3,$130.61,752 Main St,Debit Card,Cancelled,TRK55785217,4,,Facebook,$391.83
ORD200065,3/10/2023,C97735,Monitor,5,$81.70,385 Main St,Credit Card,Delivered,TRK13743703,6,SAVE10,Instagram,$408.50
ORD200066,3/11/2023,C18104,Chair,5,$127.18,715 Main St,Cash,Cancelled,TRK15488568,9,,Referral,$635.90
ORD200067,3/12/2023,C25587,Printer,4,$12.10,440 Main St,Debit Card,Cancelled,TRK55105323,8,FREESHIP,Google,$48.40
ORD200068,3/13/2023,C41598,Chair,3,$490.92,709 Main St,Credit Card,Pending,TRK81665940,5,,Email,"$1,472.76"
ORD200069,3/14/2023,C43338,Monitor,3,$478.65,552 Main St,Online,Shipped,TRK35241775,4,FREESHIP,Referral,"$1,435.95"
ORD200070,3/15/2023,C25123,Desk,1,$629.21,384 Main St,Gift Card,Pending,TRK27812282,2,,Instagram,$629.21
ORD200071,3/16/2023,C37454,Monitor,3,$434.45,923 Main St,Credit Card,Pending,TRK28252730,4,,Referral,"$1,303.35"
ORD200072,3/17/2023,C19451,Tablet,4,$589.44,942 Main St,Gift Card,Returned,TRK87787793,5,,Facebook,"$2,357.76"
ORD200073,3/18/2023,C17269,Monitor,4,$433.45,129 Main St,Gift Card,Cancelled,TRK79608389,4,,Facebook,"$1,733.80"
ORD200074,3/19/2023,C25382,Phone,5,$90.87,622 Main St,Cash,Pending,TRK64691287,5,SAVE10,Instagram,$454.35
ORD200075,3/20/2023,C80651,Tablet,3,$398.17,917 Main St,Debit Card,Delivered,TRK14846720,5,WINTER15,Email,"$1,194.51"
ORD200076,3/21/2023,C58638,Laptop,4,$382.88,239 Main St,Cash,Cancelled,TRK38224871,6,,Email,"$1,531.52"
ORD200077,3/22/2023,C50121,Phone,1,$583.18,348 Main St,Credit Card,Returned,TRK79810059,5,FREESHIP,Google,$583.18
ORD200078,3/23/2023,C32029,Printer,4,$175.36,146 Main St,Debit Card,Delivered,TRK68535532,4,,Instagram,$701.44
ORD200079,3/24/2023,C76700,Tablet,2,$311.91,103 Main St,Online,Shipped,TRK13036341,2,,Facebook,$623.82
ORD200080,3/25/2023,C29041,Phone,3,$589.56,591 Main St,Online,Returned,TRK28840655,6,FREESHIP,Facebook,"$1,768.68"
ORD200081,3/26/2023,C29314,Monitor,2,$394.30,496 Main St,Cash,Shipped,TRK59876213,6,SAVE10,Email,$788.60
ORD200082,3/27/2023,C65799,Tablet,4,$565.20,971 Main St,Debit Card,Shipped,TRK66906607,9,,Google,"$2,260.80"
ORD200083,3/28/2023,C15681,Laptop,4,$540.41,989 Main St,Credit Card,Cancelled,TRK75112172,6,WINTER15,Referral,"$2,161.64"
ORD200084,3/29/2023,C64160,Monitor,2,$165.49,967 Main St,Online,Shipped,TRK34121529,4,FREESHIP,Instagram,$330.98
ORD200085,3/30/2023,C14553,Tablet,3,$146.73,768 Main St,Cash,Delivered,TRK93538334,8,FREESHIP,Email,$440.19
ORD200086,3/31/2023,C88205,Printer,5,$643.03,447 Main St,Online,Cancelled,TRK93504166,5,SAVE10,Referral,"$3,215.15"
ORD200087,4/1/2023,C91245,Tablet,3,$225.11,915 Main St,Cash,Shipped,TRK46976391,4,,Facebook,$675.33
ORD200088,4/2/2023,C75439,Desk,3,$114.81,318 Main St,Gift Card,Cancelled,TRK19831653,7,FREESHIP,Google,$344.43
ORD200089,4/3/2023,C17181,Printer,5,$455.33,291 Main St,Credit Card,Cancelled,TRK78912978,8,SAVE10,Google,"$2,276.65"
ORD200090,4/4/2023,C36540,Chair,4,$182.08,611 Main St,Gift Card,Delivered,TRK35828122,4,WINTER15,Email,$728.32
ORD200091,4/5/2023,C98216,Laptop,5,$492.75,196 Main St,Cash,Shipped,TRK40986666,6,FREESHIP,Referral,"$2,463.75"
ORD200092,4/6/2023,C29568,Printer,4,$48.61,203 Main St,Online,Shipped,TRK46531075,7,,Facebook,$194.44
ORD200093,4/7/2023,C97262,Desk,4,$431.01,837 Main St,Credit Card,Returned,TRK65990229,7,WINTER15,Referral,"$1,724.04"
ORD200094,4/8/2023,C79821,Chair,1,$531.18,781 Main St,Gift Card,Returned,TRK12780193,6,,Instagram,$531.18
ORD200095,4/9/2023,C76761,Printer,4,$117.51,839 Main St,Debit Card,Returned,TRK60179774,7,,Referral,$470.04
ORD200096,4/10/2023,C93007,Phone,2,$232.83,103 Main St,Gift Card,Delivered,TRK85696091,7,,Instagram,$465.66
ORD200097,4/11/2023,C15624,Tablet,5,$619.52,922 Main St,Debit Card,Pending,TRK40621141,9,,Email,"$3,097.60"
ORD200098,4/12/2023,C70921,Printer,2,$228.54,533 Main St,Debit Card,Pending,TRK54983109,3,WINTER15,Email,$457.08
ORD200099,4/13/2023,C30477,Printer,1,$201.58,717 Main St,Debit Card,Cancelled,TRK51829648,2,,Email,$201.58
ORD200100,4/14/2023,C74866,Phone,3,$664.79,743 Main St,Online,Delivered,TRK53783265,6,,Facebook,"$1,994.37"
ORD200101,4/15/2023,C15283,Printer,1,$381.02,152 Main St,Cash,Shipped,TRK19286291,6,FREESHIP,Google,$381.02
ORD200102,4/16/2023,C18037,Laptop,2,$70.34,944 Main St,Gift Card,Cancelled,TRK47362236,3,SAVE10,Email,$140.68
ORD200103,4/17/2023,C62656,Phone,4,$218.43,514 Main St,Credit Card,Cancelled,TRK86296459,9,FREESHIP,Email,$873.72
ORD200104,4/18/2023,C65744,Phone,1,$582.04,647 Main St,Gift Card,Delivered,TRK39906058,1,,Email,$582.04
ORD200105,4/19/2023,C72290,Printer,3,$185.40,810 Main St,Gift Card,Cancelled,TRK68792129,7,SAVE10,Facebook,$556.20
ORD200106,4/20/2023,C73514,Desk,3,$465.05,126 Main St,Credit Card,Cancelled,TRK96777924,3,FREESHIP,Email,"$1,395.15"
ORD200107,4/21/2023,C16775,Printer,5,$670.75,848 Main St,Gift Card,Shipped,TRK34392124,8,WINTER15,Instagram,"$3,353.75"
ORD200108,4/22/2023,C33099,Laptop,5,$48.38,522 Main St,Gift Card,Delivered,TRK28522330,9,FREESHIP,Email,$241.90
ORD200109,4/23/2023,C51157,Desk,3,$592.87,131 Main St,Gift Card,Shipped,TRK18674578,3,FREESHIP,Referral,"$1,778.61"
ORD200110,4/24/2023,C74562,Tablet,1,$220.77,388 Main St,Gift Card,Pending,TRK32062079,5,FREESHIP,Instagram,$220.77
ORD200111,4/25/2023,C95271,Desk,3,$309.22,620 Main St,Online,Cancelled,TRK74904969,7,WINTER15,Google,$927.66
ORD200112,4/26/2023,C81366,Monitor,1,$410.60,423 Main St,Online,Cancelled,TRK17062206,2,FREESHIP,Referral,$410.60
ORD200113,4/27/2023,C65905,Laptop,5,$190.08,605 Main St,Cash,Shipped,TRK73954365,9,SAVE10,Instagram,$950.40
ORD200114,4/28/2023,C77272,Monitor,5,$498.48,115 Main St,Online,Pending,TRK29708128,8,SAVE10,Google,"$2,492.40"
ORD200115,4/29/2023,C32580,Phone,5,$374.99,122 Main St,Online,Shipped,TRK23670394,9,WINTER15,Facebook,"$1,874.95"
ORD200116,4/30/2023,C47761,Printer,4,$291.35,109 Main St,Credit Card,Cancelled,TRK66669207,6,WINTER15,Facebook,"$1,165.40"
ORD200117,5/1/2023,C49187,Tablet,1,$535.50,593 Main St,Gift Card,Cancelled,TRK81888598,5,FREESHIP,Referral,$535.50
ORD200118,5/2/2023,C27898,Printer,5,$502.71,807 Main St,Gift Card,Shipped,TRK61957665,7,FREESHIP,Google,"$2,513.55"
ORD200119,5/3/2023,C14683,Desk,2,$534.67,187 Main St,Debit Card,Shipped,TRK47373682,7,WINTER15,Referral,"$1,069.34"
ORD200120,5/4/2023,C58108,Tablet,4,$629.34,986 Main St,Cash,Cancelled,TRK66218053,4,FREESHIP,Instagram,"$2,517.36"
ORD200121,5/5/2023,C89822,Desk,1,$410.78,673 Main St,Cash,Cancelled,TRK24138598,1,,Instagram,$410.78
ORD200122,5/6/2023,C96787,Laptop,2,$533.02,588 Main St,Gift Card,Shipped,TRK30422853,2,,Facebook,"$1,066.04"
ORD200123,5/7/2023,C86064,Desk,3,$278.04,727 Main St,Online,Delivered,TRK62182901,5,,Instagram,$834.12
ORD200124,5/8/2023,C97148,Printer,4,$283.79,563 Main St,Online,Pending,TRK85321126,8,SAVE10,Google,"$1,135.16"
ORD200125,5/9/2023,C91099,Phone,2,$512.65,758 Main St,Credit Card,Shipped,TRK81846174,5,FREESHIP,Email,"$1,025.30"
ORD200126,5/10/2023,C55606,Desk,4,$275.50,353 Main St,Gift Card,Shipped,TRK68250319,8,,Google,"$1,102.00"
ORD200127,5/11/2023,C71486,Desk,3,$469.32,365 Main St,Debit Card,Shipped,TRK73929833,3,FREESHIP,Google,"$1,407.96"
ORD200128,5/12/2023,C86408,Tablet,4,$21.07,244 Main St,Gift Card,Delivered,TRK41432648,4,FREESHIP,Google,$84.28
ORD200129,5/13/2023,C52751,Laptop,4,$263.93,427 Main St,Debit Card,Shipped,TRK72481234,4,WINTER15,Facebook,"$1,055.72"
ORD200130,5/14/2023,C29059,Desk,3,$501.30,513 Main St,Online,Cancelled,TRK88360704,3,,Facebook,"$1,503.90"
ORD200131,5/15/2023,C72862,Tablet,1,$84.80,606 Main St,Gift Card,Pending,TRK51648833,5,WINTER15,Instagram,$84.80
ORD200132,5/16/2023,C96257,Tablet,4,$450.75,583 Main St,Credit Card,Shipped,TRK13137948,6,SAVE10,Email,"$1,803.00"
ORD200133,5/17/2023,C87432,Chair,4,$302.05,636 Main St,Debit Card,Cancelled,TRK68969625,6,,Google,"$1,208.20"
ORD200134,5/18/2023,C16253,Laptop,2,$199.70,583 Main St,Cash,Pending,TRK17354894,4,SAVE10,Email,$399.40
ORD200135,5/19/2023,C79909,Printer,2,$68.81,642 Main St,Gift Card,Shipped,TRK86742257,5,SAVE10,Referral,$137.62
ORD200136,5/20/2023,C73370,Laptop,1,$44.35,595 Main St,Gift Card,Cancelled,TRK67820278,1,,Instagram,$44.35
ORD200137,5/21/2023,C50682,Monitor,2,$250.98,598 Main St,Credit Card,Delivered,TRK12242337,5,WINTER15,Google,$501.96
ORD200138,5/22/2023,C21905,Tablet,1,$298.06,478 Main St,Debit Card,Pending,TRK31863841,3,,Google,$298.06
ORD200139,5/23/2023,C61440,Phone,1,$583.90,714 Main St,Cash,Returned,TRK33114521,1,FREESHIP,Email,$583.90
ORD200140,5/24/2023,C33110,Chair,3,$528.14,388 Main St,Online,Delivered,TRK38624225,3,WINTER15,Email,"$1,584.42"
ORD200141,5/25/2023,C80004,Printer,3,$684.14,151 Main St,Cash,Cancelled,TRK66230753,3,WINTER15,Instagram,"$2,052.42"
ORD200142,5/26/2023,C86374,Desk,5,$272.77,573 Main St,Cash,Pending,TRK79451491,7,,Email,"$1,363.85"
ORD200143,5/27/2023,C66521,Chair,4,$400.07,933 Main St,Online,Shipped,TRK34654244,5,,Referral,"$1,600.28"
ORD200144,5/28/2023,C63365,Desk,5,$219.78,895 Main St,Credit Card,Pending,TRK80100887,8,FREESHIP,Facebook,"$1,098.90"
ORD200145,5/29/2023,C85929,Printer,3,$146.91,798 Main St,Credit Card,Delivered,TRK29318610,6,,Google,$440.73
ORD200146,5/30/2023,C84645,Tablet,2,$411.49,404 Main St,Credit Card,Returned,TRK68893369,4,SAVE10,Instagram,$822.98
ORD200147,5/31/2023,C46316,Laptop,2,$465.18,893 Main St,Credit Card,Cancelled,TRK16196000,2,WINTER15,Google,$930.36
ORD200148,6/1/2023,C35100,Phone,2,$319.91,139 Main St,Credit Card,Cancelled,TRK56853491,3,,Google,$639.82
ORD200149,6/2/2023,C39671,Laptop,1,$217.56,174 Main St,Debit Card,Delivered,TRK47153818,3,WINTER15,Facebook,$217.56
ORD200150,6/3/2023,C25503,Phone,2,$105.57,981 Main St,Debit Card,Returned,TRK29878837,5,,Google,$211.14
ORD200151,6/4/2023,C32960,Printer,5,$444.76,947 Main St,Debit Card,Returned,TRK91226500,7,FREESHIP,Email,"$2,223.80"
ORD200152,6/5/2023,C77736,Chair,2,$399.04,659 Main St,Cash,Cancelled,TRK90329250,3,WINTER15,Referral,$798.08
ORD200153,6/6/2023,C71570,Chair,4,$534.48,437 Main St,Online,Returned,TRK95992269,9,,Instagram,"$2,137.92"
ORD200154,6/7/2023,C73587,Phone,4,$408.21,727 Main St,Credit Card,Pending,TRK13955543,9,WINTER15,Instagram,"$1,632.84"
ORD200155,6/8/2023,C62740,Phone,1,$424.40,446 Main St,Online,Shipped,TRK20706408,6,SAVE10,Referral,$424.40
ORD200156,6/9/2023,C58808,Chair,2,$269.83,651 Main St,Online,Delivered,TRK24451893,4,WINTER15,Email,$539.66
ORD200157,6/10/2023,C50422,Monitor,2,$564.58,636 Main St,Online,Returned,TRK71227815,4,WINTER15,Facebook,"$1,129.16"
ORD200158,6/11/2023,C23334,Tablet,1,$331.06,737 Main St,Credit Card,Pending,TRK46335144,5,WINTER15,Instagram,$331.06
ORD200159,6/12/2023,C48965,Printer,1,$299.35,819 Main St,Credit Card,Cancelled,TRK50921780,5,,Email,$299.35
ORD200160,6/13/2023,C38669,Monitor,4,$101.32,240 Main St,Cash,Pending,TRK81738254,7,SAVE10,Referral,$405.28
ORD200161,6/14/2023,C35091,Monitor,1,$211.14,513 Main St,Credit Card,Cancelled,TRK53784452,1,WINTER15,Facebook,$211.14
ORD200162,6/15/2023,C82313,Chair,3,$65.86,917 Main St,Online,Pending,TRK79854624,8,,Google,$197.58
ORD200163,6/16/2023,C99589,Tablet,1,$641.39,277 Main St,Online,Cancelled,TRK16695001,1,SAVE10,Referral,$641.39
ORD200164,6/17/2023,C70566,Desk,5,$536.58,667 Main St,Gift Card,Pending,TRK49673411,5,WINTER15,Google,"$2,682.90"
ORD200165,6/18/2023,C60355,Monitor,2,$500.29,226 Main St,Online,Returned,TRK30155194,7,WINTER15,Google,"$1,000.58"
ORD200166,6/19/2023,C28889,Chair,3,$86.29,565 Main St,Cash,Delivered,TRK23791726,6,WINTER15,Instagram,$258.87
ORD200167,6/20/2023,C88304,Chair,2,$384.14,219 Main St,Online,Returned,TRK44268941,2,,Email,$768.28
ORD200168,6/21/2023,C49517,Printer,1,$594.96,878 Main St,Cash,Returned,TRK78551375,6,WINTER15,Facebook,$594.96
ORD200169,6/22/2023,C35785,Printer,1,$427.82,732 Main St,Online,Delivered,TRK78923089,2,SAVE10,Email,$427.82
ORD200170,6/23/2023,C80223,Desk,4,$662.94,535 Main St,Cash,Cancelled,TRK68632951,8,WINTER15,Instagram,"$2,651.76"
ORD200171,6/24/2023,C20448,Tablet,2,$148.22,336 Main St,Credit Card,Delivered,TRK67379895,7,WINTER15,Instagram,$296.44
ORD200172,6/25/2023,C34134,Printer,1,$254.12,365 Main St,Online,Delivered,TRK43074303,1,FREESHIP,Email,$254.12
ORD200173,6/26/2023,C95901,Phone,3,$664.46,806 Main St,Online,Delivered,TRK56989066,4,SAVE10,Google,"$1,993.38"
ORD200174,6/27/2023,C51145,Printer,4,$600.81,790 Main St,Debit Card,Delivered,TRK59154274,9,WINTER15,Email,"$2,403.24"
ORD200175,6/28/2023,C78170,Chair,5,$68.34,332 Main St,Debit Card,Pending,TRK71410605,6,WINTER15,Referral,$341.70
ORD200176,6/29/2023,C80151,Tablet,4,$430.83,553 Main St,Gift Card,Pending,TRK88251529,8,,Referral,"$1,723.32"
ORD200177,6/30/2023,C55632,Chair,5,$431.69,354 Main St,Credit Card,Pending,TRK13003066,10,SAVE10,Facebook,"$2,158.45"
ORD200178,7/1/2023,C53070,Chair,4,$512.06,283 Main St,Online,Delivered,TRK49791755,5,,Google,"$2,048.24"
ORD200179,7/2/2023,C27401,Laptop,3,$539.91,500 Main St,Credit Card,Delivered,TRK14332053,8,,Email,"$1,619.73"
ORD200180,7/3/2023,C87216,Tablet,5,$316.07,970 Main St,Cash,Returned,TRK18713727,10,,Google,"$1,580.35"
ORD200181,7/4/2023,C38966,Printer,5,$404.39,247 Main St,Online,Shipped,TRK17205146,10,WINTER15,Referral,"$2,021.95"
ORD200182,7/5/2023,C16612,Desk,1,$600.54,596 Main St,Debit Card,Pending,TRK96188223,4,SAVE10,Google,$600.54
ORD200183,7/6/2023,C39246,Monitor,5,$186.28,258 Main St,Debit Card,Delivered,TRK16658182,8,,Email,$931.40
ORD200184,7/7/2023,C65180,Tablet,4,$214.54,231 Main St,Gift Card,Cancelled,TRK39255469,7,WINTER15,Referral,$858.16
ORD200185,7/8/2023,C46877,Laptop,1,$210.70,572 Main St,Online,Shipped,TRK96935978,2,FREESHIP,Referral,$210.70
ORD200186,7/9/2023,C30334,Phone,2,$133.55,322 Main St,Cash,Pending,TRK66388885,7,FREESHIP,Facebook,$267.10
ORD200187,7/10/2023,C21227,Chair,1,$590.87,689 Main St,Gift Card,Returned,TRK79129657,6,FREESHIP,Referral,$590.87
ORD200188,7/11/2023,C97715,Chair,2,$363.91,927 Main St,Gift Card,Shipped,TRK19515949,2,WINTER15,Referral,$727.82
ORD200189,7/12/2023,C48939,Printer,5,$429.45,597 Main St,Gift Card,Cancelled,TRK62786764,5,SAVE10,Email,"$2,147.25"
ORD200190,7/13/2023,C35483,Printer,3,$223.70,725 Main St,Cash,Returned,TRK79638203,3,FREESHIP,Email,$671.10
ORD200191,7/14/2023,C51494,Laptop,2,$488.87,505 Main St,Online,Cancelled,TRK58520306,4,SAVE10,Google,$977.74
ORD200192,7/15/2023,C58410,Desk,1,$645.46,151 Main St,Gift Card,Cancelled,TRK19749672,5,,Google,$645.46
ORD200193,7/16/2023,C11644,Printer,1,$46.66,429 Main St,Cash,Cancelled,TRK81320339,6,FREESHIP,Google,$46.66
ORD200194,7/17/2023,C53501,Monitor,1,$249.57,899 Main St,Cash,Shipped,TRK90144892,3,,Google,$249.57
ORD200195,7/18/2023,C63619,Chair,3,$619.21,801 Main St,Debit Card,Cancelled,TRK65385674,6,WINTER15,Email,"$1,857.63"
ORD200196,7/19/2023,C40882,Desk,4,$217.13,719 Main St,Cash,Delivered,TRK64165503,8,WINTER15,Email,$868.52
ORD200197,7/20/2023,C80135,Laptop,5,$221.51,723 Main St,Cash,Returned,TRK95222269,5,SAVE10,Referral,"$1,107.55"
ORD200198,7/21/2023,C37594,Laptop,4,$340.30,926 Main St,Cash,Cancelled,TRK94405162,8,WINTER15,Referral,"$1,361.20"
ORD200199,7/22/2023,C87524,Phone,1,$625.00,358 Main St,Online,Returned,TRK21114341,5,SAVE10,Google,$625.00
ORD200200,7/23/2023,C97681,Tablet,5,$433.26,895 Main St,Credit Card,Delivered,TRK37531040,9,SAVE10,Google,"$2,166.30"
